mid,retweeted_status_mid,uid,retweeted_uid,source,image,text,geo,created_at,deleted_last_seen,permission_denied
mdZXnAJANt,,uI43LGPVO,,Android客户端,0,睡觉啦。。。圣诞假的最后一天哝T_T就在作业堆里度过吧。。。晚安，，各位。。,,2012-01-02 00:55:53,,
mVQIweqWja,mwQFQigX5G,uI43LGPVO,,Android客户端,0,嘿嘿。鼻塞而已。。,,2012-01-02 00:53:57,,
mNfGns6vki,mrMzm9JxSy,uI43LGPVO,,Android客户端,0,转发微博。,,2012-01-02 00:52:35,,
mFLhNXDzUy,m9hqwDGoaN,uI43LGPVO,,Android客户端,0,蒽蒽。我有这样的朋友麽?!不知道叻…,,2012-01-02 00:48:17,,
mT51uMkqC2,m5PYL09ZZB,uI43LGPVO,,Android客户端,0,蒽蒽…//@uTZ5DMKRS： 同意,,2012-01-02 00:27:35,,
mSFZ8x2P0w,mzqhsk7x5Z,uI43LGPVO,,Android客户端,0,zzZZ...//@uR1WD0JOF： [晕],,2012-01-02 00:16:27,,
mrMzmG9eGG,mGCSN9d0Rd,uI43LGPVO,,Android客户端,0,转发微博。,,2012-01-02 00:06:17,,
mex2t3aGeA,mCCl30qPR8,uI43LGPVO,,Android客户端,0,是麽?!嘿嘿…,,2012-01-02 00:04:01,,
mpbgQTAztU,mppTRqd6V7,uSIAH0D2M,,iPhone客户端,0,一个人的尊严归根结底是由他自己决定的！如果是个文明体面的人，无论他是中国人还是外星人，走到哪儿都会被尊重[哈哈],,2012-01-02 08:05:49,,
mJKb9Yymh4,m8E9J5X0rO,u351QG4L0,,Android客户端,0,再次证明我是男人！//@uZDQIVTCY： 好像是这样。。。,,2012-01-03 00:14:03,,
mf6mesVSiD,mGvPfcpp2O,u351QG4L0,,Android客户端,0,我说冷静一下，是希望对方有所改进；我说算了，是想走开但其实舍不得；我说分手，一定是被激怒的时候，但真的分手的时候，我其实什么都不会说，笑笑转身就走了，之所以会笑，是因为不会再去爱这个人了。,,2012-01-03 00:12:36,,
mt8Z9hcfby,,u351QG4L0,,Android客户端,0,吃个饭还做名牌，靠，这么隆重的场合我穿什么去啊？还要冒着不被认出的危险，汗！他要在名牌上写，国家领导人蒙主席，我就去！[哈哈]我想看电影！看电影！看电影！有没有人请我？[抓狂][挖鼻屎][委屈],,2012-01-02 21:48:48,,
mZwliDYMuh,,u351QG4L0,,iPad客户端,1,做好啦！[心]知道是什么了吗？^_^开动咯！,,2012-01-02 13:12:38,,
mpbgPC3iCz,m7K7y50FzR,u351QG4L0,,Android客户端,0,已经第二次有人提起这本书了。,,2012-01-02 10:32:30,,
m5PY7DVNVj,mGCSLKSCUq,u351QG4L0,,Android客户端,0,闷的人骚不到哪里去，骚的人也闷不了多久。睡觉！[月亮],,2012-01-02 01:35:13,,
m4wDnema1p,mA3a14W3dM,uI43JQU4Z,,新浪微博,0,[擠眼]//@uJWA0KFDB：  转发微博,,2012-01-02 17:13:51,,
mevV19fkro,mqJrZHAHms,uI43JQU4Z,,新浪微博,0,[good]//@uQHC1530C：  准,,2012-01-02 17:09:37,,
mGCSSrrFGI,,uZNJA3R2M,,2012版iPhone客户端,1,我們昨天的髮型 by @uHJXMYP0M： [爱你] 謝謝你啊！！ u save us everytime!!,,2012-01-02 14:37:26,,
mAaBjJM57V,mL2uxtBQFX,uONPCGKZL,,新浪微博,0,才第六名//@ukn：  @uGL4YFZBF： [good],,2012-01-03 11:53:32,,
mP6RHpxpLu,,uUPCAA0RP,,新浪微博,0,是我笨呢？还是我笨呢？还是我笨呢？[懒得理你],,2012-01-02 23:02:46,,
mnzrX2K3FU,mBcY2ajj6c,uZNJA3R2M,,2012版iPhone客户端,0,AF Elegance的裙子！好可愛喔[爱你],,2012-01-02 14:30:32,,
m0idyhJZYW,,uUPCAA0RP,,Android客户端,0,过去的事情就过去了，我只要求它过去了。,,2012-01-02 11:42:15,,
mgkNCgHX2,mzHaF0OiNH,uONPCGKZL,,新浪微博,0,我柔死你。,,2012-01-03 11:40:10,,
mNfGgx5kQb,,uZNJA3R2M,,2012版iPhone客户端,1,AF Elegance 的裙子！[鼓掌],,2012-01-02 14:27:52,,
m4YjTGX9aL,,uUPCAA0RP,,Android客户端,0,@ukn： 我的美人儿，生日快乐![蛋糕],,2012-01-02 09:03:39,,
